Title,Ranking,Initial release year,Casting,Rating
      Avengers: Infinity War,64,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4
      Witness for the Prosecution,65,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4
      Aliens,66,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.4
      American Beauty,67,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3
      The Dark Knight Rises,68,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3
      D,69,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.3
      Joker,70,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.3
      Spider-Man: Into the Spider-Verse,71,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.3
      Oldboy,72,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.3
      Braveheart,73,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3
      Toy Story,74,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3
      Amadeus,75,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3
      Coco,76,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3
      Inglourious Basterds,77,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3
      Das Boot,78,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3
      Avengers: Endgame,79,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.3
      Princess Mononoke,80,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.3
      Once Upon a Time in America,81,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3
      Good Will Hunting,82,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3
      Toy Story 3,83,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3
      Requiem for a Dream,84,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3
      3 Idiots,85,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3
      Your Nam,86,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3
      Singin' in the Rain,87,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3
      Star Wars: Episode VI - Return of the Jedi,88,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3
      Reservoir Dogs,89,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3
      Eternal Sunshine of the Spotless Mind,90,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3
      2001: A Space Odyssey,91,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3
      Tengoku to jigoku,92,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3
      Citizen Kane,93,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3
      Lawrence of Arabia,94,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3
      Capharnaüm,95,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3
      M,96,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3
      North by Northwest,97,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3
      The Hunt,98,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3
      The Batman,99,2022,"Matt Reeves (dir.), Robert Pattinson, Zoë Kravitz",8.3
      Vertigo,100,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3
      Amelie,101,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.3
      A Clockwork Orange,102,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.3
      Full Metal Jacket,103,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2
      Scarface,104,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2
      Double Indemnity,105,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2
      Idi i smotri,106,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.2
      The Apartment,107,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2
      Taxi Driver,108,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2
      To Kill a Mockingbird,109,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2
      The Sting,110,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2
      Up,111,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2
